address_id,street_address,apartment_no,city,county,country,zipcode
1052,"428-8294 Lobortis, Rd.",105,Seydişehir,Kon,Nauru,06064
1073,"P.O. Box 122, 6026 Ac Av.",102,Sobral,Ceará,"Czech Republic",559162
1217,"Ap #229-6235 Sagittis Av.",110,Saguenay,Quebec,"United Arab Emirates",612542
1251,"Ap #155-8785 Ac Av.",110,Cuttack,Odisha,Fiji,8831
1271,"P.O. Box 966, 383 Tristique Road",109,Guwahati,AS,Uganda,03960
1354,"954-7390 Aliquam Av.",110,Matiari,Punjab,Thailand,95-415
1357,"P.O. Box 881, 2185 Mi. St.",107,"St. Catharines",ON,Zimbabwe,51891-50701
1419,"5041 Ac St.",105,"Oxford County",ON,Swaziland,89791
1420,"1747 Non Ave",105,Belfast,Ulster,"Puerto Rico",7786
1454,"3843 Pede, Av.",106,"San José de Alajuela",Alajuela,"Heard Island and Mcdonald Islands",Z4851
1457,"P.O. Box 989, 6283 Gravida. Av.",107,Burlington,ON,Spain,38233
1511,"Ap #675-606 Mauris. St.",109,Dublin,Leinster,Israel,3857
1537,"5136 Risus Rd.",107,Kaluga,"Kaluga Oblast",Guyana,65404
1578,"Ap #224-8612 Lacus, Street",105,Lagos,LA,"Isle of Man",504863
1591,"343-7894 Ultrices, Street",107,"San Rafael",Alajuela,Indonesia,827407
1601,"590-5195 Felis. Rd.",101,Piura,PIU,"Marshall Islands",Z9712
1653,"276-493 Sed Street",105,Solok,"West Sumatra","Viet Nam","H5Y 2Y8"
1706,"Ap #551-9595 Duis Road",104,Isle-aux-Coudres,QC,Madagascar,84276
1726,"186-3602 Cursus Avenue",106,"Flin Flon",Manitoba,"Cook Islands",95022-56772
1736,"Ap #724-1685 Enim. Ave",105,"Santa Caterina Villarmosa",SIC,Gambia,96744-791
1741,"P.O. Box 792, 782 Aenean Avenue",105,Vienna,Vienna,Aruba,54-519
1772,"P.O. Box 993, 5757 Tellus Street",105,Wijshagen,Limburg,China,5917
1795,"P.O. Box 641, 3698 Vel St.",107,Gaziantep,Gaziantep,Thailand,861784
1861,"506-4709 Id, Rd.",101,Etalle,LX,"Saint Helena, Ascension and Tristan da Cunha",13660-72400
1911,"177 Nunc Ave",110,Angoulême,Poitou-Charentes,Mozambique,155765
1946,"5095 Ornare, Avenue",109,Marabá,PA,"Christmas Island",Z1372
2041,"Ap #192-5068 Sem Rd.",110,Guri,Gye,Malta,09288
2061,"P.O. Box 731, 2868 Nisl Ave",101,Hamilton,ON,Zimbabwe,8723
2107,"Ap #158-188 Tortor. Street",105,"Feira de Santana",Bahia,Lesotho,32239
2157,"P.O. Box 371, 2837 Ut St.",106,Turbo,Antioquia,Slovakia,40851
2224,"730-4684 Ultricies Rd.",101,Raigarh,Chhattisgarh,"Hong Kong",28860
2235,"P.O. Box 850, 5621 Erat St.",108,Berlin,BE,"Saint Barthélemy",07557
2265,"P.O. Box 674, 5680 Vitae Road",102,Jamshedpur,Jharkhand,Niue,38778-46056
2291,"6936 Euismod Ave",109,Dublin,L,Hungary,11010
2332,"567-5499 Consequat Av.",106,Bathurst,NSW,Tuvalu,14126
2555,"459-1741 Donec Rd.",104,Vigo,GA,Namibia,65151
2583,"1462 Sapien. Av.",101,Belfast,Ulster,Iceland,"2076 RO"
2710,"Ap #352-1914 Dui. Av.",102,Tarakan,"North Kalimantan",Uruguay,14287-152
2743,"268-9613 Phasellus Road",103,Owerri,IM,"Sint Maarten",26480
2814,"1943 Dui, Av.",104,Mielec,PK,Grenada,Z9356
2826,"P.O. Box 372, 3108 Non Avenue",104,Yaroslavl,"Yaroslavl Oblast",Benin,196532
2831,"7731 Non, Rd.",106,"North Jakarta",JK,"Saudi Arabia","A4E 7B4"
2843,"193-5236 Sed Av.",105,Laval,"Pays de la Loire","Saint Martin",448348
2937,"Ap #611-2669 Auctor St.",105,Davenport,IA,Norway,08-371
3008,"7728 Nulla. Street",107,Luziânia,GO,Philippines,"9772 UY"
3037,"872-2651 Donec Rd.",109,Gliwice,Sląskie,"British Indian Ocean Territory","K3N 6Z8"
3051,"5151 Vestibulum Ave",108,Baltasound,SH,Ukraine,867861
3067,"8581 A Rd.",107,"San Rafael",Alajuela,Rwanda,Z0498
3105,"P.O. Box 407, 9253 Nullam Road",108,Evere,"Brussels Hoofdstedelijk Gewest",Panama,72342
3110,"P.O. Box 914, 3716 Cras Av.",106,"Königs Wusterhausen",Brandenburg,Ireland,772693
3196,"Ap #236-1544 Tempus Ave",108,Rochester,Minnesota,Switzerland,"TD4S 4UG"
3286,"5650 Accumsan Rd.",110,Deventer,Overijssel,"Svalbard and Jan Mayen Islands",512630
3297,"Ap #111-1583 Sed Av.",109,Sandy,Utah,"Wallis and Futuna",957838
3326,"Ap #428-3148 Egestas Rd.",104,"Cambridge Bay",NU,"Côte D'Ivoire (Ivory Coast)",8962
3381,"P.O. Box 329, 2123 Hendrerit Av.",104,Parbhani,Maharastra,Nepal,48396-09213
3423,"P.O. Box 127, 1914 Egestas. Rd.",108,Vienna,Wie,Sweden,286946
3457,"204 Dui. Street",101,Konin,WP,Lebanon,333170
3519,"5463 Euismod Avenue",109,"Ponta Grossa",Paraná,"Saint Martin",42-348
3590,"194-7307 Semper Road",109,Yuryuzan,CHE,Andorra,457544
3592,"1018 Mus. Rd.",110,Bello,Antioquia,Switzerland,1693
3633,"712-4712 Cursus St.",102,Sabanalarga,Atlántico,Kenya,45299
3654,"5383 Non Ave",102,"St. Catharines",ON,Yemen,658776
3853,"222-2464 Eget, Avenue",107,Charsadda,"Khyber Pakhtoonkhwa",Reunion,57920
3860,"Ap #555-1807 Cras Ave",105,Kupang,NT,"French Southern Territories",27258
3877,"9789 Maecenas Rd.",105,Carleton,Quebec,"Northern Mariana Islands","O9L 7MJ"
3912,"Ap #603-6317 Aliquam Street",107,Huelva,Andalucía,Poland,"P5J 3J9"
3913,"446-7667 Nec Rd.",108,Hamburg,Hamburg,"Sint Maarten",478867
3960,"Ap #527-3638 Lacus. Road",109,Juliaca,PUN,"Virgin Islands, United States",46489-34568
3966,"P.O. Box 905, 941 Ridiculus St.",103,Kayseri,Kay,Brazil,609177
3986,"8412 Diam Rd.",102,Gouda,"Zuid Holland",Chad,"L6U 1AN"
4027,"526-1376 Tellus Rd.",107,Kędzierzyn-Koźle,OP,Zambia,486151
4057,"Ap #177-2234 Enim. Rd.",110,Winnipeg,MB,Italy,Z6064
4067,"603-8818 Justo. Ave",106,"Poza Rica",Ver,"Solomon Islands",67907
4071,"Ap #593-4435 Fringilla Rd.",102,Antakya,Hatay,"Congo, the Democratic Republic of the","1019 ON"
4073,"Ap #230-8227 Morbi St.",102,Altmünster,OÖ.,Croatia,81509
4132,"3582 Etiam Rd.",105,Gdynia,Pomorskie,Ghana,"9918 SD"
4160,"Ap #252-1349 Urna Rd.",107,Alajuelita,"San José",Swaziland,660771
4266,"P.O. Box 913, 7234 Ac St.",106,Cork,M,Netherlands,43805
4272,"P.O. Box 828, 5022 Lectus Av.",101,Jeonju,"North Jeolla","United States Minor Outlying Islands",76-191
4321,"9479 Curabitur Ave",102,"Salt Spring Island","British Columbia",Mali,31155
4346,"514-6391 Donec St.",106,"Great Falls",Montana,Mozambique,335048
4366,"255-9487 Porta Rd.",104,Mokpo,Jeo,Philippines,902368
4471,"552-2382 Varius. Av.",107,"La Ligua",V,Jamaica,25858
4476,"8323 Elit, Rd.",103,Almería,AN,Ireland,14561
4514,"Ap #219-1788 Adipiscing. Ave",108,Unnao,"Uttar Pradesh",Namibia,13254
4518,"Ap #610-7219 Montes, Ave",101,Zutendaal,Limburg,Belgium,512520
4542,"Ap #483-1282 Natoque St.",106,Ulyanovsk,"Ulyanovsk Oblast",Jamaica,848702
4557,"6134 Erat. Rd.",110,Neuville-en-Condroz,LU,Reunion,"T7C 5W3"
4583,"Ap #559-7148 Erat, Road",107,Namyangju,Gyeonggi,Spain,"EP4 7ED"
4753,"1172 Sodales. Road",109,Sherbrooke,Quebec,"Viet Nam",5293
4757,"3093 In Street",107,Silifke,Mersin,Martinique,36398
4778,"P.O. Box 335, 9149 Neque. Rd.",101,"San Bernardo","Metropolitana de Santiago","Turks and Caicos Islands",16350
4806,"752-2206 Pede, Road",102,Uiwang,Gyeonggi,Guatemala,514090
4823,"101-3815 Magnis Rd.",110,Tokoroa,NI,Dominica,61097-064
4833,"724-8366 Quisque Street",104,Gongju,"South Chungcheong","United States Minor Outlying Islands",40901
4841,"8999 Proin Rd.",108,Mjölby,"Östergötlands län",Barbados,661117
4875,"308-522 Placerat Street",104,Lidingo,AB,"South Africa",7263
4908,"6234 Lorem, Rd.",106,"Sambuca Pistoiese",TOS,"Antigua and Barbuda",90059
4969,"P.O. Box 941, 7681 Arcu St.",109,Belfast,U,Nauru,16832
4989,"Ap #534-2623 Dolor St.",105,Carunchio,ABR,Sudan,3257
